No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location
374   ,2024-05-07 20:48:42,121.564,23.7798,4.7,17.1,23.78N 121.56E, i.e. 24.1 km SSW of Hualien County(23.78N 121.56E, i.e. 24.1 km SSW of Hualien County)
Small area,2024-05-07 19:56:39,121.6,23.894,3.3,8.3,23.89N 121.60E, i.e. 10.9 km SSW of Hualien County(23.89N 121.60E, i.e. 10.9 km SSW of Hualien County)
Small area,2024-05-07 09:01:11,121.751,24.0945,3.5,25.4,24.09N 121.75E, i.e. 17.6 km NE of Hualien County(24.09N 121.75E, i.e. 17.6 km NE of Hualien County)
Small area,2024-05-07 08:22:32,121.536,23.7757,4,19.4,23.78N 121.54E, i.e. 25.3 km SSW of Hualien County(23.78N 121.54E, i.e. 25.3 km SSW of Hualien County)
Small area,2024-05-07 04:43:39,121.467,23.967,3,17.5,23.97N 121.47E, i.e. 15.8 km W of Hualien County(23.97N 121.47E, i.e. 15.8 km W of Hualien County)
Small area,2024-05-07 02:10:40,121.842,24.1978,4.1,5,24.20N 121.84E, i.e. 32.1 km NE of Hualien County(24.20N 121.84E, i.e. 32.1 km NE of Hualien County)
Small area,2024-05-06 21:18:25,121.594,23.6982,3.6,5,23.70N 121.59E, i.e. 32.5 km S of Hualien County(23.70N 121.59E, i.e. 32.5 km S of Hualien County)
Small area,2024-05-06 20:11:15,121.645,24.0325,3.4,26.5,24.03N 121.64E, i.e. 5.2 km NNE of Hualien County(24.03N 121.64E, i.e. 5.2 km NNE of Hualien County)
Small area,2024-05-06 19:44:18,121.55,23.775,4,22.8,23.78N 121.55E, i.e. 25.0 km SSW of Hualien County(23.78N 121.55E, i.e. 25.0 km SSW of Hualien County)
Small area,2024-05-06 18:31:22,121.54,23.7757,3.6,21,23.78N 121.54E, i.e. 25.2 km SSW of Hualien County(23.78N 121.54E, i.e. 25.2 km SSW of Hualien County)
Small area,2024-05-06 18:03:05,121.581,23.7533,3.5,27,23.75N 121.58E, i.e. 26.6 km S of Hualien County(23.75N 121.58E, i.e. 26.6 km S of Hualien County)
Small area,2024-05-06 17:54:26,121.539,23.761,4,21.8,23.76N 121.54E, i.e. 26.8 km SSW of Hualien County(23.76N 121.54E, i.e. 26.8 km SSW of Hualien County)
373   ,2024-05-06 17:52:46,121.581,23.7427,5.9,16.1,23.74N 121.58E, i.e. 27.8 km S of Hualien County(23.74N 121.58E, i.e. 27.8 km S of Hualien County)
Small area,2024-05-06 17:49:53,121.577,23.7678,4,26.4,23.77N 121.58E, i.e. 25.1 km S of Hualien County(23.77N 121.58E, i.e. 25.1 km S of Hualien County)
372   ,2024-05-06 17:45:31,121.592,23.7575,5.9,15.6,23.76N 121.59E, i.e. 26.0 km S of Hualien County(23.76N 121.59E, i.e. 26.0 km S of Hualien County)
Small area,2024-05-06 13:35:12,121.94,24.1333,3.9,25.6,24.13N 121.94E, i.e. 36.2 km ENE of Hualien County(24.13N 121.94E, i.e. 36.2 km ENE of Hualien County)
Small area,2024-05-06 13:15:52,121.705,24.255,3.3,5.1,24.26N 121.70E, i.e. 30.5 km NNE of Hualien County(24.26N 121.70E, i.e. 30.5 km NNE of Hualien County)
Small area,2024-05-05 10:25:43,121.752,24.0915,3.7,26.3,24.09N 121.75E, i.e. 17.5 km NE of Hualien County(24.09N 121.75E, i.e. 17.5 km NE of Hualien County)
Small area,2024-05-05 09:23:26,121.559,23.6832,3.5,5,23.68N 121.56E, i.e. 34.7 km SSW of Hualien County(23.68N 121.56E, i.e. 34.7 km SSW of Hualien County)
Small area,2024-05-04 22:30:24,121.663,24.1623,3.8,26.4,24.16N 121.66E, i.e. 19.5 km NNE of Hualien County(24.16N 121.66E, i.e. 19.5 km NNE of Hualien County)
Small area,2024-05-04 21:56:09,121.558,23.7967,3.6,6.3,23.80N 121.56E, i.e. 22.4 km SSW of Hualien County(23.80N 121.56E, i.e. 22.4 km SSW of Hualien County)
Small area,2024-05-04 14:04:47,121.464,23.7768,3.7,9.9,23.78N 121.46E, i.e. 28.5 km SW of Hualien County(23.78N 121.46E, i.e. 28.5 km SW of Hualien County)
Small area,2024-05-04 11:58:34,121.467,23.9307,3.3,18.8,23.93N 121.47E, i.e. 17.0 km WSW of Hualien County(23.93N 121.47E, i.e. 17.0 km WSW of Hualien County)
